method,dist,shape,mode,classification,deterministic,all_codes_eq_q0,final_linf,final_code_change_pct,min_cos,compression_ratio,lat_q_ms,lat_d_ms
affine_int2,rope,llm_h8_s2048_d128,recomputed,PASS,True,True,0.0,0.0,1.000156313270983,16.0,7.580550000056974,3.3206810001047415
symmetric_int2,normal,sanity_2x8x16x64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.0000005701698536,16.0,0.27038799998990726,0.020553000013023848
symmetric_int2,normal,sanity_2x8x16x64,recomputed,PASS,True,True,0.0,0.0,1.0000005701698536,16.0,0.17400599995198718,0.01856400012911763
symmetric_int2,normal,llm_h8_s128_d64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,0.9999991113026747,16.0,0.22773199998482596,0.03949100005229411
symmetric_int2,normal,llm_h8_s128_d64,recomputed,PASS,True,True,0.0,0.0,0.9999991113026747,16.0,0.29129900008229015,0.04122499990444339
symmetric_int2,normal,llm_h8_s2048_d128,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.000020369768162,16.0,6.975873000101274,1.4071149998926558
symmetric_int2,normal,llm_h8_s2048_d128,recomputed,PASS,True,True,0.0,0.0,1.000020369768162,16.0,8.536076000154935,1.3552150001032714
symmetric_int2,heavy,sanity_2x8x16x64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,0.9999998426219684,16.0,0.21710000009989017,0.027066000029662973
symmetric_int2,heavy,sanity_2x8x16x64,recomputed,PASS,True,True,0.0,0.0,0.9999998426219684,16.0,0.20681199998762168,0.031468999850403634
symmetric_int2,heavy,llm_h8_s128_d64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,0.9999998985920623,16.0,0.161547000061546,0.03347699998812459
symmetric_int2,heavy,llm_h8_s128_d64,recomputed,PASS,True,True,0.0,0.0,0.9999998985920623,16.0,0.20499999982348527,0.05153200004315295
symmetric_int2,heavy,llm_h8_s2048_d128,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,0.9999995998011012,16.0,2.6435750000928238,0.9797329998946225
symmetric_int2,heavy,llm_h8_s2048_d128,recomputed,PASS,True,True,0.0,0.0,0.9999995998011012,16.0,4.902133999848957,2.419106999923315
symmetric_int2,outlier,sanity_2x8x16x64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,0.999999933230165,16.0,0.21103300014146953,0.02389800010860199
symmetric_int2,outlier,sanity_2x8x16x64,recomputed,PASS,True,True,0.0,0.0,0.999999933230165,16.0,0.19417099997554033,0.024363999955312465
symmetric_int2,outlier,llm_h8_s128_d64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.0,16.0,0.13939899986326054,0.04119400000490714
symmetric_int2,outlier,llm_h8_s128_d64,recomputed,PASS,True,True,0.0,0.0,1.0,16.0,0.23779600019224745,0.04035899996779335
symmetric_int2,outlier,llm_h8_s2048_d128,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.0000007165404852,16.0,3.1704890000128216,1.2241019999237324
symmetric_int2,outlier,llm_h8_s2048_d128,recomputed,PASS,True,True,0.0,0.0,1.0000007165404852,16.0,4.085247000148229,1.1425590000726515
symmetric_int2,rope,sanity_2x8x16x64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,0.9999998997058573,16.0,0.32527300004403514,0.02576199995019124
symmetric_int2,rope,sanity_2x8x16x64,recomputed,PASS,True,True,0.0,0.0,0.9999998997058573,16.0,0.18126700001630525,0.0226820000079897
symmetric_int2,rope,llm_h8_s128_d64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,0.9999996929654391,16.0,0.1965599999493861,0.12426000012055738
symmetric_int2,rope,llm_h8_s128_d64,recomputed,PASS,True,True,0.0,0.0,0.9999996929654391,16.0,0.2544260000831855,0.06274599991229479
symmetric_int2,rope,llm_h8_s2048_d128,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,0.9999862854511005,16.0,5.587211999909414,2.874277999808328
symmetric_int2,rope,llm_h8_s2048_d128,recomputed,PASS,True,True,0.0,0.0,0.9999862854511005,16.0,5.555791000006138,2.8165890000764193
pot_int2,normal,sanity_2x8x16x64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.0000000596046483,16.0,0.3324409999549971,0.022745999785911408
pot_int2,normal,sanity_2x8x16x64,recomputed,PASS,True,True,0.0,0.0,1.0000000596046483,16.0,0.18236799996884656,0.01719800002319971
pot_int2,normal,llm_h8_s128_d64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.0,16.0,0.21233100005702,0.027388999797040015
pot_int2,normal,llm_h8_s128_d64,recomputed,PASS,True,True,0.0,0.0,1.0,16.0,0.3428229999826726,0.04535499988378433
pot_int2,normal,llm_h8_s2048_d128,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,0.999999898948427,16.0,6.683015999897179,1.3760930000898952
pot_int2,normal,llm_h8_s2048_d128,recomputed,PASS,True,True,0.0,0.0,0.999999898948427,16.0,8.4632519999559,1.2006430001747503
pot_int2,heavy,sanity_2x8x16x64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.0,16.0,0.25529300000926014,0.028781000082744868
pot_int2,heavy,sanity_2x8x16x64,recomputed,PASS,True,True,0.0,0.0,1.0,16.0,0.17374000003655965,0.022725000007994822
pot_int2,heavy,llm_h8_s128_d64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.0,16.0,0.14686600002278283,0.030458000082944636
pot_int2,heavy,llm_h8_s128_d64,recomputed,PASS,True,True,0.0,0.0,1.0,16.0,0.2611760000945651,0.055466000048909336
pot_int2,heavy,llm_h8_s2048_d128,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.0,16.0,2.626047000148901,0.9878360001494002
pot_int2,heavy,llm_h8_s2048_d128,recomputed,PASS,True,True,0.0,0.0,1.0,16.0,5.303589000050124,2.3865579998982867
pot_int2,outlier,sanity_2x8x16x64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.0,16.0,0.24626999993415666,0.02440299999761919
pot_int2,outlier,sanity_2x8x16x64,recomputed,PASS,True,True,0.0,0.0,1.0,16.0,0.1762570000209962,0.022189999981492292
pot_int2,outlier,llm_h8_s128_d64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.0,16.0,0.20542900006148557,0.05022300001655822
pot_int2,outlier,llm_h8_s128_d64,recomputed,PASS,True,True,0.0,0.0,1.0,16.0,0.2646600000844046,0.057454999932815554
pot_int2,outlier,llm_h8_s2048_d128,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.0000000859650162,16.0,3.1470090000311757,1.0577610000837012
pot_int2,outlier,llm_h8_s2048_d128,recomputed,PASS,True,True,0.0,0.0,1.0000000859650162,16.0,4.289842999924076,1.0931399999662972
pot_int2,rope,sanity_2x8x16x64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.0,16.0,0.35481899999467714,0.029528999903050135
pot_int2,rope,sanity_2x8x16x64,recomputed,PASS,True,True,0.0,0.0,1.0,16.0,0.20395399997141794,0.022585999886359787
pot_int2,rope,llm_h8_s128_d64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.0,16.0,0.19313099983264692,0.12642500018955616
pot_int2,rope,llm_h8_s128_d64,recomputed,PASS,True,True,0.0,0.0,1.0,16.0,0.26275899995198415,0.05890100010219612
pot_int2,rope,llm_h8_s2048_d128,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.0,16.0,5.782975999863993,2.6328720000492467
pot_int2,rope,llm_h8_s2048_d128,recomputed,PASS,True,True,0.0,0.0,1.0,16.0,5.558276000101614,2.56033200003003
fp8_e4m3,normal,sanity_2x8x16x64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.0000003559833262,4.0,0.9443859999009874,0.04911499991067103
fp8_e4m3,normal,sanity_2x8x16x64,recomputed,PASS,True,True,0.0,0.0,1.0000003559833262,4.0,0.5632099998820195,0.0028720000955217984
fp8_e4m3,normal,llm_h8_s128_d64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.00000462402196,4.0,1.2928640001064196,0.0036279998312238604
fp8_e4m3,normal,llm_h8_s128_d64,recomputed,PASS,True,True,0.0,0.0,1.00000462402196,4.0,1.8369900001289352,0.003099000196016277
fp8_e4m3,normal,llm_h8_s2048_d128,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.000335346166152,4.0,106.45657999998548,0.037951999956931104
fp8_e4m3,normal,llm_h8_s2048_d128,recomputed,PASS,True,True,0.0,0.0,1.000335346166152,4.0,62.346316000002844,0.04477299989957828
fp8_e4m3,heavy,sanity_2x8x16x64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.0000009749775267,4.0,0.8960699999533972,0.004826999884244287
fp8_e4m3,heavy,sanity_2x8x16x64,recomputed,PASS,True,True,0.0,0.0,1.0000009749775267,4.0,0.5344050000530842,0.00341999998454412
fp8_e4m3,heavy,llm_h8_s128_d64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.0000056875588572,4.0,1.26584500003446,0.003842000069198548
fp8_e4m3,heavy,llm_h8_s128_d64,recomputed,PASS,True,True,0.0,0.0,1.0000056875588572,4.0,1.423991000137903,0.0038700000004610047
fp8_e4m3,heavy,llm_h8_s2048_d128,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.000308178337497,4.0,123.17838500007383,0.05871100006515917
fp8_e4m3,heavy,llm_h8_s2048_d128,recomputed,PASS,True,True,0.0,0.0,1.000308178337497,4.0,130.1402839999355,0.06849299984423851
fp8_e4m3,outlier,sanity_2x8x16x64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.0000027614982068,4.0,0.7755540000289329,0.004169999783698586
fp8_e4m3,outlier,sanity_2x8x16x64,recomputed,PASS,True,True,0.0,0.0,1.0000027614982068,4.0,0.5678830000306334,0.0037500001326407073
fp8_e4m3,outlier,llm_h8_s128_d64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.000012646725668,4.0,1.1915299999145645,0.0037719998999818927
fp8_e4m3,outlier,llm_h8_s128_d64,recomputed,PASS,True,True,0.0,0.0,1.000012646725668,4.0,1.2926890001381253,0.006768000048396061
fp8_e4m3,outlier,llm_h8_s2048_d128,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.0001203562545133,4.0,104.83127999987119,0.05803099998047401
fp8_e4m3,outlier,llm_h8_s2048_d128,recomputed,PASS,True,True,0.0,0.0,1.0001203562545133,4.0,106.14058800001658,0.051366999969104654
fp8_e4m3,rope,sanity_2x8x16x64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.0000011860916052,4.0,0.7886920000146347,0.0045849999423808185
fp8_e4m3,rope,sanity_2x8x16x64,recomputed,PASS,True,True,0.0,0.0,1.0000011860916052,4.0,0.6160389998512983,0.0037299998894013697
fp8_e4m3,rope,llm_h8_s128_d64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.0000033218094229,4.0,1.161913000032655,0.008379000064451247
fp8_e4m3,rope,llm_h8_s128_d64,recomputed,PASS,True,True,0.0,0.0,1.0000033218094229,4.0,1.2551319998692634,0.0035230000321462285
fp8_e4m3,rope,llm_h8_s2048_d128,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.0004394682178124,4.0,109.95577900007447,0.05729800000153773
fp8_e4m3,rope,llm_h8_s2048_d128,recomputed,PASS,True,True,0.0,0.0,1.0004394682178124,4.0,108.32145099993795,0.059467000028234906
fp8_e5m2,normal,sanity_2x8x16x64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.0000004751513654,4.0,0.934544999836362,0.003974999799538637
fp8_e5m2,normal,sanity_2x8x16x64,recomputed,PASS,True,True,0.0,0.0,1.0000004751513654,4.0,0.5367270000533608,0.003499000058582169
fp8_e5m2,normal,llm_h8_s128_d64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.000002612506711,4.0,1.763734999940425,0.0037760000850539654
fp8_e5m2,normal,llm_h8_s128_d64,recomputed,PASS,True,True,0.0,0.0,1.000002612506711,4.0,1.356113999918307,0.003704999926412711
fp8_e5m2,normal,llm_h8_s2048_d128,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.0002608405618492,4.0,116.73627700020006,0.0554399998691224
fp8_e5m2,normal,llm_h8_s2048_d128,recomputed,PASS,True,True,0.0,0.0,1.0002608405618492,4.0,62.24335000001702,0.04610399992088787
fp8_e5m2,heavy,sanity_2x8x16x64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.0000006506810808,4.0,0.9083439999812981,0.005257000111669186
fp8_e5m2,heavy,sanity_2x8x16x64,recomputed,PASS,True,True,0.0,0.0,1.0000006506810808,4.0,0.5703459999040206,0.0037150000480323797
fp8_e5m2,heavy,llm_h8_s128_d64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.0000041223165927,4.0,1.2292270000671124,0.0037739998788310913
fp8_e5m2,heavy,llm_h8_s128_d64,recomputed,PASS,True,True,0.0,0.0,1.0000041223165927,4.0,1.0621849999097321,0.004975999900125316
fp8_e5m2,heavy,llm_h8_s2048_d128,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.0005109712775722,4.0,111.66682900011438,0.05891699993298971
fp8_e5m2,heavy,llm_h8_s2048_d128,recomputed,PASS,True,True,0.0,0.0,1.0005109712775722,4.0,107.08950000002915,0.05694200012840156
fp8_e5m2,outlier,sanity_2x8x16x64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.0000011849494241,4.0,0.9188960000301449,0.004903999979433138
fp8_e5m2,outlier,sanity_2x8x16x64,recomputed,PASS,True,True,0.0,0.0,1.0000011849494241,4.0,0.48310300007869955,0.0026699999580159783
fp8_e5m2,outlier,llm_h8_s128_d64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.0000077523871638,4.0,1.227019999987533,0.003367000090293004
fp8_e5m2,outlier,llm_h8_s128_d64,recomputed,PASS,True,True,0.0,0.0,1.0000077523871638,4.0,1.8752959999801533,0.003344000106153544
fp8_e5m2,outlier,llm_h8_s2048_d128,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.0005451528256517,4.0,120.75668300008147,0.062216000060288934
fp8_e5m2,outlier,llm_h8_s2048_d128,recomputed,PASS,True,True,0.0,0.0,1.0005451528256517,4.0,117.46214899994811,0.054739000006520655
fp8_e5m2,rope,sanity_2x8x16x64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.0000009500289522,4.0,1.1955259999467671,0.0037579998206638265
fp8_e5m2,rope,sanity_2x8x16x64,recomputed,PASS,True,True,0.0,0.0,1.0000009500289522,4.0,0.49787300008574675,0.0025580000055924756
fp8_e5m2,rope,llm_h8_s128_d64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.0000040426119838,4.0,2.113283999960913,0.00334199989993067
fp8_e5m2,rope,llm_h8_s128_d64,recomputed,PASS,True,True,0.0,0.0,1.0000040426119838,4.0,1.2681629998496646,0.0033179999263666105
fp8_e5m2,rope,llm_h8_s2048_d128,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.0004528429119324,4.0,125.78792899989821,0.07164000021475658
fp8_e5m2,rope,llm_h8_s2048_d128,recomputed,PASS,True,True,0.0,0.0,1.0004528429119324,4.0,123.007601999916,0.05438199991658621
mxfp4_b32,normal,sanity_2x8x16x64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.0,7.529411764705882,36.04016600002069,0.06102400016061438
mxfp4_b32,normal,sanity_2x8x16x64,recomputed,PASS,True,True,0.0,0.0,1.0,7.529411764705882,0.6400970000868256,0.021658000150637235
mxfp4_b32,normal,llm_h8_s128_d64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,0.9999999277964055,7.529411764705882,1.9436390000464598,0.03893500002050132
mxfp4_b32,normal,llm_h8_s128_d64,recomputed,PASS,True,True,0.0,0.0,0.9999999277964055,7.529411764705882,1.4967270001307043,0.03821500013145851
mxfp4_b32,normal,llm_h8_s2048_d128,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.0000041000866289,7.529411764705882,42.22994899987498,0.7828600000721053
mxfp4_b32,normal,llm_h8_s2048_d128,recomputed,PASS,True,True,0.0,0.0,1.0000041000866289,7.529411764705882,42.67630399999689,0.9499049999703857
mxfp4_b32,heavy,sanity_2x8x16x64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.0,7.529411764705882,1.0436019999815471,0.048519999836571515
mxfp4_b32,heavy,sanity_2x8x16x64,recomputed,PASS,True,True,0.0,0.0,1.0,7.529411764705882,0.6465520000347169,0.022618000002694316
mxfp4_b32,heavy,llm_h8_s128_d64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.0,7.529411764705882,1.1638359999324166,0.03444899994065054
mxfp4_b32,heavy,llm_h8_s128_d64,recomputed,PASS,True,True,0.0,0.0,1.0,7.529411764705882,1.1626699999851553,0.06469000004472036
mxfp4_b32,heavy,llm_h8_s2048_d128,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.0002037959008494,7.529411764705882,37.829536000117514,0.9313840000686469
mxfp4_b32,heavy,llm_h8_s2048_d128,recomputed,PASS,True,True,0.0,0.0,1.0002037959008494,7.529411764705882,40.57036600011088,0.9104739999656886
mxfp4_b32,outlier,sanity_2x8x16x64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,0.9999999315901219,7.529411764705882,0.849493000032453,0.031886999977359665
mxfp4_b32,outlier,sanity_2x8x16x64,recomputed,PASS,True,True,0.0,0.0,0.9999999315901219,7.529411764705882,0.7520219999150868,0.03869400006806245
mxfp4_b32,outlier,llm_h8_s128_d64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.0000000852771331,7.529411764705882,1.2311539999245724,0.03154999990329088
mxfp4_b32,outlier,llm_h8_s128_d64,recomputed,PASS,True,True,0.0,0.0,1.0000000852771331,7.529411764705882,1.297952999948393,0.06963800001358322
mxfp4_b32,outlier,llm_h8_s2048_d128,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.0007117268466434,7.529411764705882,37.028586000133146,0.873564999892551
mxfp4_b32,outlier,llm_h8_s2048_d128,recomputed,PASS,True,True,0.0,0.0,1.0007117268466434,7.529411764705882,41.41247400002612,0.9514789999229833
mxfp4_b32,rope,sanity_2x8x16x64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.000000073703243,7.529411764705882,1.0853010001028451,0.03676699998322874
mxfp4_b32,rope,sanity_2x8x16x64,recomputed,PASS,True,True,0.0,0.0,1.000000073703243,7.529411764705882,0.557074999960605,0.0330760001361341
mxfp4_b32,rope,llm_h8_s128_d64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,0.9999999270450601,7.529411764705882,1.571622000028583,0.07619099983458
mxfp4_b32,rope,llm_h8_s128_d64,recomputed,PASS,True,True,0.0,0.0,0.9999999270450601,7.529411764705882,1.293827999916175,0.03411000011510623
mxfp4_b32,rope,llm_h8_s2048_d128,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.0001641468057234,7.529411764705882,40.3001850002056,0.8081840001068485
mxfp4_b32,rope,llm_h8_s2048_d128,recomputed,PASS,True,True,0.0,0.0,1.0001641468057234,7.529411764705882,42.17802099992696,0.9027720000176487
vq_d4_k256,normal,sanity_2x8x16x64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,0.999999160081653,10.666666666666666,118.82420699998875,0.1675739999882353
vq_d4_k256,normal,sanity_2x8x16x64,recomputed,FAIL-DRIFT,True,False,1.0453593730926514,23.6328125,0.9934530681930441,10.666666666666666,129.90414399996553,0.13641299983646604
vq_d4_k256,normal,llm_h8_s128_d64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.0000021632945166,14.222222222222221,317.71204000006037,0.1752079999732814
vq_d4_k256,normal,llm_h8_s128_d64,recomputed,FAIL-DRIFT,True,False,0.8915547132492065,24.053955078125,0.991494117341365,14.222222222222221,329.01418500000545,0.2125679998243868
vq_d4_k256,normal,llm_h8_s2048_d128,skipped,SKIPPED-COST,,,,,,,,
vq_d4_k256,heavy,sanity_2x8x16x64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.0000002831178725,10.666666666666666,114.65942599988921,0.08418200013693422
vq_d4_k256,heavy,sanity_2x8x16x64,recomputed,FAIL-DRIFT,True,False,15.500511169433594,45.7275390625,0.9790846278810325,10.666666666666666,112.99897600019904,0.07826800015209301
vq_d4_k256,heavy,llm_h8_s128_d64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.0000004378902012,14.222222222222221,316.7665369996939,0.2179020002586185
vq_d4_k256,heavy,llm_h8_s128_d64,recomputed,FAIL-DRIFT,True,False,9.466741561889648,58.0078125,0.9818773840021608,14.222222222222221,311.92825800007995,0.2141829995707667
vq_d4_k256,heavy,llm_h8_s2048_d128,skipped,SKIPPED-COST,,,,,,,,
vq_d4_k256,outlier,sanity_2x8x16x64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.0000005628115363,10.666666666666666,111.59726100004264,0.11151899980177404
vq_d4_k256,outlier,sanity_2x8x16x64,recomputed,FAIL-DRIFT,True,False,36.29193878173828,39.35546875,0.9377538289111688,10.666666666666666,113.13516900008835,0.08346999993591453
vq_d4_k256,outlier,llm_h8_s128_d64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.0000006580933194,14.222222222222221,319.6759170000405,0.24331099984920002
vq_d4_k256,outlier,llm_h8_s128_d64,recomputed,FAIL-DRIFT,True,False,25.61486053466797,40.216064453125,0.9552234727158843,14.222222222222221,308.5754829999132,0.17900900002132403
vq_d4_k256,outlier,llm_h8_s2048_d128,skipped,SKIPPED-COST,,,,,,,,
vq_d4_k256,rope,sanity_2x8x16x64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.0000008574095587,10.666666666666666,110.50740200016662,0.08951600011641858
vq_d4_k256,rope,sanity_2x8x16x64,recomputed,FAIL-DRIFT,True,False,1.3031930923461914,55.322265625,0.9816063289160948,10.666666666666666,110.5473129996426,0.07383299998764414
vq_d4_k256,rope,llm_h8_s128_d64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.0000010158652415,14.222222222222221,300.74009700001625,0.2203699996243813
vq_d4_k256,rope,llm_h8_s128_d64,recomputed,FAIL-DRIFT,True,False,0.6678768992424011,59.173583984375,0.9836728168711151,14.222222222222221,301.55848899994453,0.164320999829215
vq_d4_k256,rope,llm_h8_s2048_d128,skipped,SKIPPED-COST,,,,,,,,
pq_d2_k16,normal,sanity_2x8x16x64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.0000020698322682,15.753846153846155,16.79081500014945,0.10209299989583087
pq_d2_k16,normal,sanity_2x8x16x64,recomputed,FAIL-DRIFT,True,False,0.5469849109649658,24.2431640625,0.9846580586267745,15.753846153846155,16.995106999729614,0.06923399996594526
pq_d2_k16,normal,llm_h8_s128_d64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,0.9999898119705325,15.937743190661479,44.02019400004065,0.23587099985888926
pq_d2_k16,normal,llm_h8_s128_d64,recomputed,NUMERICALLY-STABLE,True,True,8.344650268554688e-07,0.0,0.9999902811561,15.937743190661479,42.025438000109716,0.2262709999740764
pq_d2_k16,normal,llm_h8_s2048_d128,skipped,SKIPPED-COST,,,,,,,,
pq_d2_k16,heavy,sanity_2x8x16x64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.0000004792215142,15.753846153846155,16.366586000003736,0.08039000022108667
pq_d2_k16,heavy,sanity_2x8x16x64,recomputed,FAIL-DRIFT,True,False,4.84032678604126,78.662109375,0.9516310835052916,15.753846153846155,16.000299000097584,0.07828000025256188
pq_d2_k16,heavy,llm_h8_s128_d64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.000024060226649,15.937743190661479,40.41899000003468,0.18329800013816566
pq_d2_k16,heavy,llm_h8_s128_d64,recomputed,FAIL-DRIFT,True,False,5.043431758880615,44.17724609375,0.9250403444247366,15.937743190661479,41.61375399962708,0.20321700003478327
pq_d2_k16,heavy,llm_h8_s2048_d128,skipped,SKIPPED-COST,,,,,,,,
pq_d2_k16,outlier,sanity_2x8x16x64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,0.9999994390228601,15.753846153846155,16.16515800014895,0.07742600018900703
pq_d2_k16,outlier,sanity_2x8x16x64,recomputed,FAIL-DRIFT,True,False,2.2906241416931152,66.00341796875,0.994136993706633,15.753846153846155,17.221489999883488,0.07714899993516156
pq_d2_k16,outlier,llm_h8_s128_d64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.0000152928915134,15.937743190661479,43.0551680001372,0.24263399973278865
pq_d2_k16,outlier,llm_h8_s128_d64,recomputed,FAIL-DRIFT,True,False,4.43990421295166,57.51953125,0.9958261051561459,15.937743190661479,42.36136300005455,0.19654599964269437
pq_d2_k16,outlier,llm_h8_s2048_d128,skipped,SKIPPED-COST,,,,,,,,
pq_d2_k16,rope,sanity_2x8x16x64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,0.9999974758542016,15.753846153846155,16.250238999873545,0.07753199997750926
pq_d2_k16,rope,sanity_2x8x16x64,recomputed,FAIL-DRIFT,True,False,0.8940873146057129,76.25732421875,0.9397665437970004,15.753846153846155,16.545047999898088,0.14287899966802797
pq_d2_k16,rope,llm_h8_s128_d64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.0000158550461375,15.937743190661479,41.814963000433636,0.17868799977804883
pq_d2_k16,rope,llm_h8_s128_d64,recomputed,FAIL-DRIFT,True,False,0.6395321488380432,48.7518310546875,0.929112113883664,15.937743190661479,41.26063099965904,0.19709499974851497
pq_d2_k16,rope,llm_h8_s2048_d128,skipped,SKIPPED-COST,,,,,,,,
