method,dist,shape,mode,classification,deterministic,all_codes_eq_q0,final_linf,final_code_change_pct,min_cos,compression_ratio,lat_q_ms,lat_d_ms
symmetric_int8,heavy,llm_h8_s128_d64,recomputed,PASS,True,True,0.0,0.0,1.0000213284660078,4.0,0.19214400003875198,0.047889999905237346
symmetric_int8,heavy,llm_h8_s2048_d128,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,0.9994448171826761,4.0,3.247296999916216,1.1719100000391336
symmetric_int8,heavy,llm_h8_s2048_d128,recomputed,PASS,True,True,0.0,0.0,0.9994448171826761,4.0,5.847719000030338,2.2896680000030756
symmetric_int8,outlier,sanity_2x8x16x64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,0.9999964956815239,4.0,0.289074999955119,0.030640999966635718
symmetric_int8,outlier,sanity_2x8x16x64,recomputed,PASS,True,True,0.0,0.0,0.9999964956815239,4.0,0.13508100005310553,0.019476000034046592
symmetric_int8,outlier,llm_h8_s128_d64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,0.9999476558685044,4.0,0.19435000012890669,0.051215999974374427
symmetric_int8,outlier,llm_h8_s128_d64,recomputed,PASS,True,True,0.0,0.0,0.9999476558685044,4.0,0.18634699995345727,0.0666060000185098
symmetric_int8,outlier,llm_h8_s2048_d128,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,0.999510378132591,4.0,3.006865999850561,1.0772059999908379
symmetric_int8,outlier,llm_h8_s2048_d128,recomputed,PASS,True,True,0.0,0.0,0.999510378132591,4.0,4.813502000160952,1.495869000109451
symmetric_int8,rope,sanity_2x8x16x64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,0.9999991706185705,4.0,0.4055690001223411,0.03194400005668285
symmetric_int8,rope,sanity_2x8x16x64,recomputed,PASS,True,True,0.0,0.0,0.9999991706185705,4.0,0.13513599992620584,0.01937699994414288
symmetric_int8,rope,llm_h8_s128_d64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.000010782882281,4.0,0.1799689998733811,0.09986899999603338
symmetric_int8,rope,llm_h8_s128_d64,recomputed,PASS,True,True,0.0,0.0,1.000010782882281,4.0,0.17845399997895584,0.03210699992450827
symmetric_int8,rope,llm_h8_s2048_d128,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.0000410928702441,4.0,5.302000000028784,2.3316100000556617
symmetric_int8,rope,llm_h8_s2048_d128,recomputed,PASS,True,True,0.0,0.0,1.0000410928702441,4.0,6.024650999961523,2.534429999968779
pot_int8,normal,sanity_2x8x16x64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.0000001184697827,4.0,0.5121490000874473,0.028090000114389113
pot_int8,normal,sanity_2x8x16x64,recomputed,PASS,True,True,0.0,0.0,1.0000001184697827,4.0,0.26226799991491134,0.017550999928062083
pot_int8,normal,llm_h8_s128_d64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.0000001183543583,4.0,0.21309199996721873,0.03327299987176957
pot_int8,normal,llm_h8_s128_d64,recomputed,PASS,True,True,0.0,0.0,1.0000001183543583,4.0,0.2744729999903939,0.03482900001472444
pot_int8,normal,llm_h8_s2048_d128,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.0014683686702746,4.0,6.017256999939491,1.5217699999539036
pot_int8,normal,llm_h8_s2048_d128,recomputed,PASS,True,True,0.0,0.0,1.0014683686702746,4.0,8.086178999974436,1.4650769999207114
pot_int8,heavy,sanity_2x8x16x64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.000000065004531,4.0,0.36078500011171855,0.03542600006767316
pot_int8,heavy,sanity_2x8x16x64,recomputed,PASS,True,True,0.0,0.0,1.000000065004531,4.0,0.23758900010761863,0.022037000007912866
pot_int8,heavy,llm_h8_s128_d64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.0,4.0,0.12534799998320523,0.021733000039603212
pot_int8,heavy,llm_h8_s128_d64,recomputed,PASS,True,True,0.0,0.0,1.0,4.0,0.22977100002208317,0.029847999940102454
pot_int8,heavy,llm_h8_s2048_d128,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,0.9999999337674523,4.0,2.932956999984526,1.1430819999986852
pot_int8,heavy,llm_h8_s2048_d128,recomputed,PASS,True,True,0.0,0.0,0.9999999337674523,4.0,5.912540000053923,2.4246519999451266
pot_int8,outlier,sanity_2x8x16x64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,0.9999999258487702,4.0,0.30613000012635894,0.03151300006720703
pot_int8,outlier,sanity_2x8x16x64,recomputed,PASS,True,True,0.0,0.0,0.9999999258487702,4.0,0.19139400001222384,0.018811000018104096
pot_int8,outlier,llm_h8_s128_d64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.0,4.0,0.1555060000555386,0.03867400005219679
pot_int8,outlier,llm_h8_s128_d64,recomputed,PASS,True,True,0.0,0.0,1.0,4.0,0.24346100008187932,0.03598100011004135
pot_int8,outlier,llm_h8_s2048_d128,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,0.999999812033573,4.0,3.6264610000671382,1.13960900011989
pot_int8,outlier,llm_h8_s2048_d128,recomputed,PASS,True,True,0.0,0.0,0.999999812033573,4.0,5.062195999926189,1.5388930000881373
pot_int8,rope,sanity_2x8x16x64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.0000001183689844,4.0,0.4342370000358642,0.03294299995104666
pot_int8,rope,sanity_2x8x16x64,recomputed,PASS,True,True,0.0,0.0,1.0000001183689844,4.0,0.2037530000507104,0.02649800012477499
pot_int8,rope,llm_h8_s128_d64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.0,4.0,0.15313900007640768,0.12096999989807955
pot_int8,rope,llm_h8_s128_d64,recomputed,PASS,True,True,0.0,0.0,1.0,4.0,0.2728599999954895,0.03693999997267383
pot_int8,rope,llm_h8_s2048_d128,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.001921886158543,4.0,5.458195000073829,2.508730000045034
pot_int8,rope,llm_h8_s2048_d128,recomputed,PASS,True,True,0.0,0.0,1.001921886158543,4.0,6.078467000179444,2.4778469999091612
